日语一级至四级级词汇表																
汉字	假名(读音)	词性	词义
週	しゅう	名	周、星期
自由	じゆう	名，形動	自由、随便
周囲	しゅうい	名	周围；环境；周围的人
縦横	じゅうおう	名	纵横；自由自在
集会	しゅうかい	名，サ変	集会
収穫	しゅうかく	名，サ変	农作物等的收获；好的结果
就学	しゅうがく	名，サ変	就学、上学
週刊	しゅうかん	名	周刊
習慣	しゅうかん	名	习惯；风习
周期	しゅうき	名	周期
祝儀	しゅうぎ	名	祝贺的仪式
宗教	しゅうきょう	名	宗教
就業	しゅうぎょう	名	就职、工作
修業	しゅうぎょう	None	学习、休业
集計	しゅうけい	名，サ変	统计
集合	しゅうごう	名，サ変	集合
秀才	しゅうさい	名	学识、才能非常优秀的人
終始	しゅうし	副，サ変	始终；一直
修士	しゅうし	名	硕士；修士
収支	しゅうし	名	收支
終止	しゅうし	名，サ変	终止、结束
重視	じゅうし	名，サ変	重视
従事	じゅうじ	名，サ変	从事
十字架	じゅうじか	名	十字架
充実	じゅうじつ	名，サ変	充实
収拾	しゅうしゅう	名，サ変	收拾
収集	しゅうしゅう	名，サ変	收集；收藏、收藏品
従順	じゅうじゅん	形動	温顺、顺从
住所	じゅうしょ	名	住所、住址
就職	しゅうしょく	名，サ変	就职、就业
修飾	しゅうしょく	名，サ変	修饰；修辞
重心	じゅうしん	名	重心；平衡
修正	しゅうせい	名，サ変	修正、改正
習性	しゅうせい	名	习性、习惯
渋滞	じゅうたい	名	进展不顺利、停滞；堵车、道路拥挤
重大	じゅうだい	形動	重大、严重
住宅	じゅうたく	名	住宅
集団	しゅうだん	名	集团、集体
周知	しゅうち	名	众所周知
執着	しゅうちゃく	名，サ変	执著；固执
集中	しゅうちゅう	名，サ変	集中
重点	じゅうてん	名	重点
舅	しゅうと	None	公公；岳父
姑	しゅうと	None	婆母；岳母
習得	しゅうとく	名，サ変	学到知识、掌握技术
修得	しゅうとく	名，サ変	学会、掌握
柔軟	じゅうなん	形動	柔软；有灵活性
収入	しゅうにゅう	名	所得；收益
執念	しゅうねん	名	热情或执著的念头
秋分	しゅうぶん	名	秋分
十分	じゅうぶん	形動，副	许多；完全地
住民	じゅうみん	名	住户、居民
重役	じゅうやく	名	重要职务；董事
重要	じゅうよう	形動	重要
従来	じゅうらい	名	素来、一向
修理	しゅうり	名，サ変	修缮、修理
終了	しゅうりょう	名，サ変	终了、结束
重量	じゅうりょう	名	重量
重力	じゅうりょく	名	重力
収賄	しゅうわい	名，サ変	受贿
主観	しゅかん	名	主观
主義	しゅぎ	名	主义、主张、方针
修業	しゅぎょう	名，サ変	学习知识、技术、手艺
儒教	じゅきょう	名	儒教
授業	じゅぎょう	名，サ変	传授知识、技术、手艺
塾	じゅく	名	私塾
祝賀	しゅくが	名，サ変	祝贺、庆贺
熟語	じゅくご	名	熟语、成语；复合词
祝日	しゅくじつ	名	政府所规定的节假日
縮小	しゅくしょう	名，サ変	缩小、缩减
熟す	じゅくす	自五	果实、葡萄酒等成熟；时机成熟；娴熟、得心应手
宿題	しゅくだい	名	作业；研究中的问题
宿泊	しゅくはく	名，サ変	在外面住宿
祝福	しゅくふく	名，サ変	祝福
宿命	しゅくめい	名	宿命
熟慮	じゅくりょ	名，サ変	深思熟虑
熟練	じゅくれん	名，サ変	熟练
主権	しゅけん	名	主权
受験	じゅけん	名，サ変	参加考试
主催	しゅさい	名，サ変	主持、主办（会议或活动）
取材	しゅざい	名，サ変	采访、收集资料
趣旨	しゅし	名	宗旨
主旨	しゅし	名	主旨
種種	しゅじゅ	名，形動	种种、各种各样
手術	しゅじゅつ	名，サ変	手术
首相	しゅしょう	名	首相
主食	しゅしょく	名	主食
主人	しゅじん	名	（妻子向别人称呼自己的）丈夫；自己所效忠的人；（商店等的）经营者、店主；接待者、东道主
受診	じゅしん	名，サ変	接受诊疗
受信	じゅしん	名，サ変	接受信号；收信、收听
主体	しゅたい	名	主要部分；自主
主題	しゅだい	名	主体
手段	しゅだん	名	手段
主張	しゅちょう	名，サ変	主张
術	じゅつ	名	方法、手段；策略、计谋；魔术
出演	しゅつえん	名，サ変	演出、出场
出荷	しゅっか	名，サ変	装运、出货
出火	しゅっか	名，サ変	着火、起火
出勤	しゅっきん	名，サ変	出動、上班
出家	しゅっけ	名，サ変	出家（人）、和尚
出産	しゅっさん	名，サ変	出生、生孩子
出資	しゅっし	名，サ変	出资、投资
出場	しゅつじょう	名，サ変	（比赛、竞赛等的）出场
出身	しゅっしん	名	出生地；母校
出世	しゅっせ	名，サ変	出生；出家；出名、有出息
出生	しゅっせい	名，サ変	出生、诞生
出席	しゅっせき	名，サ変	出席
出張	しゅっちょう	名，サ変	出差
出入	しゅつにゅう	名，サ変	出入、出进
出発	しゅっぱつ	名，サ変	出发
出版	しゅっぱん	名，サ変	出版
出力	しゅつりょく	名，サ変	输出、输出功率；电子计算机输出的计算结果
首都	しゅと	名	首都
主導	しゅどう	名	主导
受動	じゅどう	名	被动
取得	しゅとく	名，サ変	取得
守備	しゅび	名，サ変	守卫、防御；比赛中的防守
首尾	しゅび	名	始终；结果
主賓	しゅひん	名	主宾
主婦	しゅふ	名	家庭主妇
趣味	しゅみ	名	兴趣、爱好；乐趣、喜好
寿命	じゅみょう	名	人的寿命；耐用期限
種目	しゅもく	名	项目
主役	しゅやく	名	主角；担负主要工作的人
主要	しゅよう	形動	主要
受容	じゅよう	名，サ変	接受、采纳
需要	じゅよう	名	需求
主流	しゅりゅう	名	主流、中心势力
主力	しゅりょく	名	中心势力；主要力量
種類	しゅるい	名	种类
手腕	しゅわん	名	手腕、才能、本领
順位	じゅんい	名	顺序、席次、等级
潤滑油	じゅんかつゆ	名	润滑油
瞬間	しゅんかん	名	瞬间
循環	じゅんかん	名，サ変	循环
順序	じゅんじょ	名	顺序、次序；步骤
準じる	じゅんじる	自上一	按照；相对应
純真	じゅんしん	形動	纯真
純粋	じゅんすい	形動	纯粹
順調	じゅんちょう	名，形動	顺利、一帆风顺
順番	じゅんばん	名	顺序；轮班、轮流
準備	じゅんび	名，サ変	准备
使用	しよう	名，サ変	使用
仕様	しよう	名	做法、方法
試用	しよう	名，サ変	试用
私用	しよう	名，サ変	私事、私人使用
上位	じょうい	名	高的地位、序号、位置
上映	じょうえい	名，サ変	上映、播放
上演	じょうえん	名，サ変	上演
消化	しょうか	名，サ変	消化；吸收、消化知识等；完成
消火	しょうか	名，サ変	灭火
昇華	しょうか	名，サ変	固体的气化；升华
生姜	しょうが	名	生姜
紹介	しょうかい	名，サ変	介绍
障害	しょうがい	名	妨碍、难事；身体的残废
生涯	しょうがい	名	生涯、一生
正月	しょうがつ	名	正月
将棋	しょうぎ	名	象棋
定規	じょうぎ	名	尺子；准则
乗客	じょうきゃく	名	乘客
昇給	しょうきゅう	名	加工资
商業	しょうぎょう	名	商业
状況	じょうきょう	名	状况
情況	じょうきょう	名	情况
消極	しょうきょく	名	消极
上下	じょうげ	名，サ変	上下；上行和下行；标东；身份、地位的高低；上卷和下卷
情景	じょうけい	名	情景
衝撃	しょうげき	名	冲击、撞击；刺激、打击
証言	しょうげん	名，サ変	作证、证词
条件	じょうけん	名	条件
証拠	しょうこ	名	证据
正午	しょうご	名	中午
照合	しょうごう	名，サ変	对照、核对
条項	じょうこう	名	条文、条目
詳細	しょうさい	名，形動	详细、详情
賞賛，称賛	しょうさん	名，サ変	称赞、赞扬
障子	しょうじ	名	拉门、纸隔窗
上司	じょうし	名	上司
正直	しょうじき	形動	正直
常識	じょうしき	名	常识
乗車	じょうしゃ	名，サ変	乘车
少女	しょうじょ	名	少女
上昇	じょうしょう	名，サ変	上升
生じる	しょうじる	自上一	产生；发生
乗じる	じょうじる	自上一	乘机、乘势；算乘法
昇進	しょうしん	名，サ変	晋升
小人	しょうじん	名	小人；小孩
精進	しょうじん	名，サ変	（佛）精进修行；吃素、斋戒；专心；洁身慎行
上手	じょうず	名，形動	娴熟；客套
少数	しょうすう	名	少数
情勢	じょうせい	名	状况、事态
定石	じょうせき	名	（围棋的）一定招数；常规做法
小説	しょうせつ	名	小说
尚早	しょうそう	名	时机未到
肖像	しょうぞう	名	肖像
消息	しょうそく	名	消息、联络；信息
招待	しょうたい	名，サ変	招待
正体	しょうたい	名	原形、真面目；身份；清醒的意识
状態	じょうたい	名	状况、状态
承諾	しょうだく	名，サ変	应允、同意
上達	じょうたつ	名，サ変	学习、技能长进、进步
冗談	じょうだん	名	玩笑话
承知	しょうち	名，サ変	知道；同意；许可；原谅
情緒	じょうちょ	名	风趣、情趣；感情
象徴	しょうちょう	名，サ変	象征
商店	しょうてん	名	商店
焦点	しょうてん	名	（镜头的）焦点；（兴趣、关心的）中心
衝動	しょうどう	名	冲动
上等	じょうとう	形動	高级的、精美的
消毒	しょうどく	名，サ変	消毒
衝突	しょうとつ	名，サ変	相撞；冲突
承認	しょうにん	名，サ変	承认、同意
証人	しょうにん	名	证人
商人	しょうにん	名	商人
情熱	じょうねつ	名	热情、激情
少年	しょうねん	名	少年
勝敗	しょうはい	名	胜败
商売	しょうばい	名	生意；职业
蒸発	じょうはつ	名，サ変	蒸发；人或物消失
消費	しょうひ	名，サ変	消费、支出
賞品	しょうひん	名	奖品
商品	しょうひん	名	商品
上品	じょうひん	形動	洗练、优雅、高雅
勝負	しょうぶ	名，サ変	胜败；比赛、竞赛
丈夫	じょうぶ	形動	健康的；结实的
譲歩	じょうほ	名，サ変	让步
消防	しょうぼう	名，サ変	消防
情報	じょうほう	名	情报；信息
賞味	しょうみ	名，サ変	品尝
正味	しょうみ	名	净重；原价、批发价；内容、实质
静脈	じょうみゃく	名	静脉
証明	しょうめい	名，サ変	证明
照明	しょうめい	名，サ変	照明
正面	しょうめん	名	前面；针锋相对
消耗	しょうもう	名，サ変	消耗；消磨体力、精神
条約	じょうやく	名	条约
将来	しょうらい	名	将来
勝利	しょうり	名，サ変	胜利
省略	しょうりゃく	名，サ変	省略
上流	じょうりゅう	名	河流的上游；社会的上层
浄瑠璃	じょうるり	名	净玻璃（日本的一种曲艺）
奨励	しょうれい	名，サ変	奖励
除外	じょがい	名，サ変	除外
書簡	しょかん	名	书信
初期	しょき	名	时代的初始；最初的阶段
暑気	しょき	名	暑气
初級	しょきゅう	名	初级
職員	しょくいん	名	职员，工作人员
職業	しょくぎょう	名	职业
食事	しょくじ	名，サ変	吃饭、饮食、饭菜
織女	しょくじょ	名	织女
食堂	しょくどう	名	食堂
職人	しょくにん	名	手艺人
職場	しょくば	名	工作场所
食品	しょくひん	名	食品
植物	しょくぶつ	名	植物
職務	しょくむ	名	职务；本职工作
食物	しょくもつ	名	食物
食欲	しょくよく	名	食欲
食料	しょくりょう	名	食物
しょげる	しょげる	自下一	泄气、气馁、消沉
助言	じょげん	名，サ変	劝告、建议
所作	しょさ	名	举止、行为
書斎	しょさい	名	书斋、书房
叙述	じょじゅつ	名，サ変	叙述
処女	しょじょ	名	处女；还未被人涉足过的自然的事物；最初
叙情	じょじょう	名，サ変	抒情
徐々に	じょじょに	副	慢慢地、一点点地
初心	しょしん	名	没有经验；初学；初志
所信	しょしん	名	信念
処する	しょする	サ変	处于；处刑；处理
女性	じょせい	名	女性
書籍	しょせき	名	书籍
所詮	しょせん	副	反正、终究、最终
所属	しょぞく	名，サ変	所属
所帯	しょたい	名	家庭、家业
処置	しょち	名，サ変	处理、措施；治疗
食器	しょっき	名	餐具
しょっちゅう	しょっちゅう	副	经常、总是
しょっぱい	しょっぱい	形	咸的；小气的、吝啬的；为难
所得	しょとく	名	所得；收益
処分	しょぶん	名，サ変	处理；处罚；处分
処方	しょほう	名，サ変	处方；处理方法
庶民	しょみん	名	平民
署名	しょめい	名，サ変	署名、签名
除名	じょめい	名，サ変	除名
書物	しょもつ	名	书籍
所有	しょゆう	名，サ変	所有
処理	しょり	名，サ変	处理；化学处理；事件或事务的处理
助力	じょりょく	名，サ変	帮忙、帮助
書類	しょるい	名	资料
白々	しらじら	副	天亮；白的
白々しい	しらじらしい	形	显而易见地、明显地；佯装不知
焦らす	じらす	他五	使……焦急、着急
知らせる	しらせる	他下一	通知、告诉；通报、预报
調べる	しらべる	他下一	调查、研究；查阅（辞书等）；搜索、检查；审讯
尻	しり	名	臀部；后头；末尾；（器物的）底儿
じりじり	じりじり	副，サ変	铃声等；油炸的吱吱音；一步一步地移动；（太阳光）灼热；坐立不安
退く	しりぞく	自五	后退；回避；隐退、辞职；让步
退ける	しりぞける	他下一	避开；赶跑；反驳、拒绝；打倒、使……下台
私立	しりつ	名	私立
自立	じりつ	名，サ変	自立
思慮	しりょ	名	深思熟虑
資料	しりょう	名	资料
汁	しる	名	果汁；草木的汁；菜汤；（占的）便宜、好处
知る	しる	他五	知道；注意到、醒悟；分辨、区分；理解内容；感到；预见、预知；体验；相识；相关、介入、牵涉
印	しるし	名	记号、符号；标志；凭证
記す	しるす	他五	写下；记述；做记号、标记；记住
辞令	じれい	名	任免证书；应对的语言、辞令
知れる	しれる	自下一	被知道；判明、明白
白	しろ	名	白色；洁白（无罪）
城	しろ	名	城堡；自己的世界
白い	しろい	形	白
素人	しろうと	名	外行
白黒	しろくろ	名，サ変	黑白；困惑、翻白眼；是非、曲直
皺	しわ	名	皱纹；布等的褶皱
師走	しわす	名	12月的别称
芯	しん	名	芯、核心
新鋭	しんえい	形動	新锐
進化	しんか	名，サ変	进化
侵害	しんがい	名，サ変	侵害
心外	しんがい	形動	意外、出乎意料
進学	しんがく	名，サ変	升班、升学
人格	じんかく	名	人格
審議	しんぎ	名，サ変	审议
進級	しんきゅう	名	升级、升班
心境	しんきょう	名	心境、心态
進境	しんきょう	名	进步的程度
しんきん	しんきん	名，サ変	亲近、认识；习惯
真空	しんくう	名	真空、空白
神経	しんけい	名	神经；感觉、精神
真剣	しんけん	名，形動	真刀、真剑；认真地、严肃地
人権	じんけん	名	人权
信仰	しんこう	名	信仰
進行	しんこう	名，サ変	前进；进展；病情恶化
振興	しんこう	名，サ変	振兴
新興	しんこう	名	新兴
信号	しんごう	名	信号、红绿灯
人口	じんこう	名	人口、众人之口
人工	じんこう	名	人工
申告	しんこく	名，サ変	申报
深刻	しんこく	形動	深刻的
新婚	しんこん	名	新婚
審査	しんさ	名，サ変	审查
人材	じんざい	名	人才
診察	しんさつ	名，サ変	诊疗、诊断
紳士	しんし	名	绅士、男士
人事	じんじ	名	人事；人所能做的事
新式	しんしき	名	新式
真実	しんじつ	名，形動	真实；真的、的确
信者	しんじゃ	名	信徒；爱好者
神社	じんじゃ	名	神社
真珠	しんじゅ	名	珍珠
人種	じんしゅ	名	人种
心中	しんじゅう	名，サ変	一起自尽；情死
進出	しんしゅつ	名，サ変	进入；扩展势力、进入
尋常	じんじょう	名，形動	寻常、平常
信じる	しんじる	他上一	信仰；相信；信赖
心身	しんしん	名	身心
新人	しんじん	名	新手、新人
神聖	しんせい	名，形動	神圣
申請	しんせい	名，サ変	申请
人生	じんせい	名	人生
親戚	しんせき	名	亲戚
親切	しんせつ	名，形動	体贴、关怀、热情
新鮮	しんせん	形動	新鲜；清新
親善	しんぜん	名	搞好关系、友谊
真相	しんそう	名	真相、真实、事实
心臓	しんぞう	名，形動	心脏；中心部；胆大、厚脸皮
進退	しんたい	名，サ変	进退；举动、行动；去就
診断	しんだん	名，サ変	诊断；分析、判断
身長	しんちょう	名	身高
慎重	しんちょう	形動	慎重
進展	しんてん	名，サ変	进步、发展
震度	しんど	名	震级
進度	しんど	名	进度
浸透	しんとう	名，サ変	渗透；普及
振動	しんどう	名，サ変	振动、摇晃
震動	しんどう	名，サ変	震动、晃动
人道	じんどう	名	人道；人行道
侵入	しんにゅう	名，サ変	侵入、闯入
新年	しんねん	名	新年
信念	しんねん	名	信念
心配	しんぱい	名，形動，サ変	担心；照顾、张罗
審判	しんぱん	名，サ変	审判、判决；体育裁判
神秘	しんぴ	名	神秘
新婦	しんぷ	名	新娘
人物	じんぶつ	名	人；人格、性格；有才能的人
新聞	しんぶん	名	报刊
進歩	しんぽ	名，サ変	进步
辛抱	しんぼう	名，サ変	忍耐、耐性
人望	じんぼう	名	人望、威望
神妙	しんみょう	形動	老实、规矩；值得敬佩
しんみり	しんみり	副，サ変	深刻地；沉思；肃静
深夜	しんや	名	深夜
親友	しんゆう	名	挚友、密友
信用	しんよう	名，サ変	信赖；相信；信誉
信頼	しんらい	名，サ変	信赖
心理	しんり	名	精神活动、心理
真理	しんり	名	真理
侵略	しんりゃく	名，サ変	侵略
尽力	じんりょく	名，サ変	尽力、努力
親類	しんるい	名	亲戚、家族
人類	じんるい	名	人类
進路	しんろ	名	前进方向；人将来的去向
新郎	しんろう	名	新郎
神話	しんわ	名	神话
巣	す	名	巢、窝；贼窝；住处
酢	す	名	醋
素足	すあし	名	赤脚、光脚
水泳	すいえい	名，サ変	游泳
水害	すいがい	名	水害
推敲	すいこう	名，サ変	推敲
遂行	すいこう	名，サ変	完成、执行
随行	ずいこう	名，サ変	随从、同行
吸い込む	すいこむ	他五	吸收
炊事	すいじ	名，サ変	炊事、做饭菜
衰弱	すいじゃく	名，サ変	衰弱
水準	すいじゅん	名	标准、程度
水上	すいじょう	名	水上、水面
水蒸気	すいじょうき	名	水蒸气
推進	すいしん	名，サ変	推进
推薦	すいせん	名，サ変	推荐
推測	すいそく	名，サ変	推测
垂直	すいちょく	名	垂直
吸い付く	すいつく	自五	紧贴、紧咬
推定	すいてい	名，サ変	推定、假定、估计
水道	すいどう	名	自来水设施；海峡；水路
吸い取る	すいとる	他五	吸取、吸吮；榨取
随筆	ずいひつ	名	随笔、漫笔
随分	ずいぶん	副，形動	非常；特别；够呛；冷酷
水平	すいへい	名	水平
睡眠	すいみん	名，サ変	睡眠
水面	すいめん	名	水面
推理	すいり	名，サ変	推理
推量	すいりょう	名，サ変	推测、推论
吸う	すう	他五	呼吸；吸（烟）；吸收
数学	すうがく	名	数学
数字	すうじ	名	数字
図図しい	ずうずうしい	形	厚颜无耻的
崇拝	すうはい	名，サ変	崇拜、崇敬
末	すえ	名	末尾；结果；将来；排行最后；末世；无足轻重之事
据え付ける	すえつける	他下一	安装、设置
据える	すえる	他下一	摆放；稳定下来；安置；让……坐下
素顔	すがお	名	未化妆的脸；本来面目、真相
透かす	すかす	他五	留下缝隙；冲散、减少；透视
清清しい	すがすがしい	形	空气清爽；心情爽快
姿	すがた	名	姿势；外观、打扮；状况、情况；物体的形状；身影、其人
縋る	すがる	自五	扶、撑、缠住；依赖、依靠
好き	すき	形動	喜爱的；任意、随意
透き	すき	名	缝隙；空隙、余地；疏忽、空子
過ぎ去る	すぎさる	自五	离去；光阴流逝
透き通る	すきとおる	自五	透明；清脆
隙間	すきま	名	缝隙；空暇
過ぎる	すぎる	自上一	通过、穿过；超过；经过、经历；结束、过去；过期；过度、过分；胜于
空く	すく	自五	空；闲下来、手空出来
透く	すく	自五	透明；清脆
直ぐ	すぐ	副	马上；不久；（距离）很近；容易、轻易
掬う	すくう	他五	掬起；突然向上拉
救う	すくう	他五	救助；挽救；弥补
少ない	すくない	形	少
ずくめ	ずくめ	接尾	表示颜色一致、完全的意思
優れる	すぐれる	自下一	出色、优秀、卓越
凄い	すごい	形	可怕、吓人；非常、特别；表示惊讶、惊叹的心情
少し	すこし	副	少量、少数；一点点；稍微；一会儿
過ごす	すごす	他五	度过；过分、过度
筋	すじ	名	线、纹；筋、肌肉；条理、道理；血统；素质；有关方面；数细长东西的量词
筋道	すじみち	名	道理、有理；顺序、步骤
素性	すじょう	名	天生的、生来的；身份；经历
濯ぐ	すすぐ	他五	洗涤
漱ぐ	すすぐ	他五	漱口
雪ぐ	すすぐ	他五	雪耻
涼しい	すずしい	形	凉快；清爽、爽快
進む	すすむ	自五	前进；进展；进入；进步；（病情）恶化；愿意、积极；旺盛；钟表快
雀	すずめ	名	麻雀；消息通
進める	すすめる	他下一	向前进；进展；晋升；增加（食欲）；把时间调快；提高程度
勧める	すすめる	他下一	建议；劝、劝诱
薦める	すすめる	他下一	推荐、推举
硯	すずり	名	砚、砚台
裾	すそ	名	衣摆、下襟；山脚
廃れる	すたれる	自下一	过时、不流行；衰弱、衰落
すっかり	すっかり	副	全部、完全；非常
すっきり	すっきり	副	心情爽快；整洁、清爽；明了
ずっと	ずっと	副	时间、距离相隔阂；一直、不停地；笔直；……得多
酸っぱい	すっぱい	形	酸
すっぽり	すっぽり	副	全盘、整个；刚好
鼈	すっぽん	名	甲鱼
既に	すでに	副	已经、业已
捨てる	すてる	他下一	扔掉；放弃；抛弃、遗弃
砂	すな	名	沙子
素直	すなお	形動	正直、诚实；坦率
即ち	すなわち	接続	即、也就是说
脛	すね	名	小腿
拗ねる	すねる	自下一	执拗、闹别扭
頭脳	ずのう	名	脑；智力
素早い	すばやい	形	行动快、反应迅速
素晴らしい	すばらしい	形	出色；非常、特别
全て	すべて	副	全部
滑る	すべる	自五	下滑；滑溜；打滑；考试落第；地位下降；说溜嘴
窄む	すぼむ	自五	变细、变窄；萎缩
住まう	すまう	自五	居住
済ます	すます	他五	结束；偿还；对付、将就；解决
澄ます	すます	他五	澄清；装模作样、满不在乎；集中注意力
隅	すみ	名	角落
速やか	すみやか	形動	快速、迅速
住む	すむ	自五	居住
済む	すむ	自五	结束；足够、可以；解决
澄む	すむ	自五	清澈；天空无云；声音清亮；没有邪念
相撲	すもう	名	相扑
する	する	サ変	做、干；表示人的感觉；表示某种状态；处于某种状态；值（多少钱）、要；戴、佩
擦る，磨る，擂る	する	他五	擦；用光
刷る	する	他五	印刷
掏る	する	他五	扒窃
狡い	ずるい	形	狡猾、滑头、奸诈
鋭い	するどい	形	锋利的；尖锐的；敏捷的
すれ違う	すれちがう	自五	走岔开、走两岔；一出一进、一来一去；不同、不相符
摩れる，擦れる	すれる	自下一	摩擦；磨破皮；世故、滑头
ずれる	ずれる	自下一	移动、错位；背离、偏离
座る，坐る	すわる	自五	坐；就任
寸法	すんぽう	名	尺寸、尺码；打算、计划
すんなり	すんなり	副，サ変	苗条；痛快、顺利
背	せ	名	脊背；后方；身高
所為	せい	名	原因、缘故
誠意	せいい	名	诚意
生育	せいいく	名，サ変	成长、发育
声援	せいえん	名，サ変	声援、支持、助威
西欧	せいおう	名	西欧
成果	せいか	名	成果
正解	せいかい	名，サ変	正确答案；正确的解释
政界	せいかい	名	政界
性格	せいかく	名	性格；性质
正確	せいかく	形動	正确
生活	せいかつ	名，サ変	生活；生计
正規	せいき	名	正规
世紀	せいき	名	世纪、时代
生気	せいき	名	生气、朝气
正義	せいぎ	名	正义
請求	せいきゅう	名，サ変	要求、索取
盛況	せいきょう	名	盛况
税金	ぜいきん	名	税金
生計	せいけい	名	生计
清潔	せいけつ	形動	清洁、卫生；廉洁
政権	せいけん	名	政治权力；政府
制限	せいげん	名，サ変	限制
成功	せいこう	名，サ変	成功；事业有成
精巧	せいこう	名，形動	精巧、精细
正座	せいざ	名，サ変	正坐、端坐
精彩	せいさい	名	精彩
制裁	せいさい	名，サ変	制裁
製作，制作	せいさく	名，サ変	制造、生产；创作（艺术作品）
政策	せいさく	名	政策
生産	せいさん	名，サ変	生产
清算	せいさん	名，サ変	结帐；清理；赔偿；结束、了结；断绝关系
精算	せいさん	名，サ変	精算、细算
静止	せいし	名，サ変	静止、停止
生死	せいし	名	生死
制止	せいし	名，サ変	制止
政治	せいじ	名	政治
正式	せいしき	名，形動	正式
性質	せいしつ	名	天性、本性；特性
誠実	せいじつ	名，形動	诚实、正直
成熟	せいじゅく	名，サ変	（果物、谷物等）成熟；发育、成熟；时机成熟
青春	せいしゅん	名	青春
清書	せいしょ	名，サ変	誊写、抄写
正常	せいじょう	名，形動	正常
青少年	せいしょうねん	名	青少年
生殖	せいしょく	名，サ変	生殖
精神	せいしん	名	精神、意志
成人	せいじん	名，サ変	成人
制する	せいする	サ変	制止、抑制；控制
精精	せいぜい	副	最多、充其量；尽量
成績	せいせき	名	成绩；工作的成果
清掃	せいそう	名，サ変	清扫
盛装	せいそう	名，サ変	盛装
製造	せいぞう	名，サ変	制造
生存	せいぞん	名，サ変	生存；活下来
生態	せいたい	名	生态；生活状态
盛大	せいだい	形動	盛大
贅沢	ぜいたく	形動，名	豪华；浪费；过度
成長	せいちょう	名，サ変	成长；成熟；发展
晴天	せいてん	名	晴天
生徒	せいと	名	中学生、高中生
制度	せいど	名	制度
正当	せいとう	名，形動	公正；妥当、当然
政党	せいとう	名	政党
青年	せいねん	名	青年
性能	せいのう	名	功能、性能
整備	せいび	名，サ変	配备；维护；检查、维修
製品	せいひん	名	产品
政府	せいふ	名	政府、内阁
制服	せいふく	名	制服
征服	せいふく	名，サ変	征服；克服
生物	せいぶつ	名	生物
成分	せいぶん	名	成分
精密	せいみつ	名，サ変	精密、精细
生命	せいめい	名	生命、寿命；在某一领域的活动；精华、精髓
制約	せいやく	名，サ変	限制、制约；必要条件
静養	せいよう	名，サ変	静养、修养
西洋	せいよう	名	西洋、西方
整理	せいり	名，サ変	整理、整顿；裁减、缩减；偿还
成立	せいりつ	名，サ変	成立；通过议案；实现
勢力	せいりょく	名	势力、影响力
正論	せいろん	名	正确的言论
背負う	せおう	他五	肩、肩负
世界	せかい	名	世界上；生活圈；特定的范围
せかせか	せかせか	副，サ変	急忙、慌慌张张
席	せき	名	座位；地位；集会地点
咳	せき	名	咳嗽
籍	せき	名	户籍；学籍
石炭	せきたん	名	煤炭
責任	せきにん	名	责任；职责
惜別	せきべつ	名	惜别
石油	せきゆ	名	石油
急く	せく	自五	着急、急；急促
世間	せけん	名	人世间；世上的人们；交际、活动的范围
世辞	せじ	名	奉承、讨好
世事	せじ	名	世事、阅历
世相	せそう	名	世态
世帯	せたい	名	家庭
世代	せだい	名	世代、代、辈；同时代的人
折角	せっかく	副	费周折、好不容易；特意；难得的；尽力
せっかち	せっかち	形動	急躁、性急
積極	せっきょく	名	积极
接近	せっきん	名，サ変	接近
設計	せっけい	名，サ変	设计；规划
絶好	ぜっこう	名	最好、特好
絶交	ぜっこう	名，サ変	绝交
切実	せつじつ	形動	切实、迫切
摂取	せっしゅ	名，サ変	摄取、吸收
折衝	せっしょう	名，サ変	谈判
接触	せっしょく	名，サ変	接触；来往、交往、交际
接する	せっする	サ変	接壤；交汇；接近；接触；应对、接待
接続	せつぞく	名，サ変	结合、连结；衔接
絶対	ぜったい	名，副	绝对；决（不、没有）
設置	せっち	名，サ変	设置、开设、设立；配置
設定	せってい	名，サ変	设定、制定
説得	せっとく	名，サ変	说服
切ない	せつない	形	苦恼、难过、痛苦
切迫	せっぱく	名，サ変	紧迫、吃紧；迫近、逼近
設備	せつび	名，サ変	设备
絶望	ぜつぼう	名，サ変	绝望
説明	せつめい	名，サ変	说明
節約	せつやく	名，サ変	节约、节省
設立	せつりつ	名，サ変	设立、开设、成立
瀬戸際	せとぎわ	名	关键时刻、紧要关头
背中	せなか	名	背、背面
是非	ぜひ	名，副	是非、善恶；一定、必定、肯定
狭い	せまい	形	空间狭小、幅度狭窄；（看法、观点）贫乏
迫る	せまる	自五	距离迫近；时间临近、逼近；急迫、急促；强迫、迫使
せめて	せめて	副	至少、哪怕是……也好
攻める	せめる	他下一	攻击、进攻、攻打
責める	せめる	他下一	非难、指责；严厉地要求
台詞	せりふ	名	台词；论调、辩解
世話	せわ	名，サ変	照看、照顾；棘手、麻烦；介绍、斡旋
線	せん	名	线；铁路线；电线、电话线；方针
栓	せん	名	拴、盖、水龙头等
繊維	せんい	名	纤维
前衛	ぜんえい	名	先锋；前锋；前卫
全快	ぜんかい	名	痊愈
選挙	せんきょ	名，サ変	选举
占拠	せんきょ	名，サ変	占据、占有
先月	せんげつ	名	上个月
宣言	せんげん	名，サ変	宣言；宣告、宣称
戦後	せんご	名	第二次大战以后、战后
前後	ぜんご	名，サ変	前面和后面；时间的先后；（顺序）颠倒；大约、左右
